Job ID,Agency,num_positions,Full/Part,Career Level,Salary Range From,Salary Range To,Work Location,Division/Work Unit,Posting Date,title,category,lon,lat,borough
133921,NYC HOUSING AUTHORITY,50,F,Entry-Level,72800,72800,DMP-Contract & Analysis Unit,Dept of Management & Planning,01/09/2014,Artist,Operation & Maintenance,-73.7897247,40.8509777,Bronx
133921,NYC HOUSING AUTHORITY,50,F,Entry-Level,72800,72800,DMP-Contract & Analysis Unit,Dept of Management & Planning,01/09/2014,Artist,Operation & Maintenance,-73.7897247,40.8509777,Bronx
137433,DEPT OF HEALTH/MENTAL HYGIENE,1,F,Experienced (non-manager),50598,85053,42-09 28th Street,HIV Administration,12/09/2013,Analyst,Finance,-73.9390619,40.7493572,Queens
138531,DEPT OF ENVIRONMENT PROTECTION,1,F,Experienced (non-manager),50623,75083,96-05 Horace Harding Expway,DWOC Labs-Lefrak,12/20/2013,Chemist/Microbiologist,Public Safety,-73.86348939999999,40.7348796,Queens
152738,LAW DEPARTMENT,1,F,Experienced (non-manager),30683,49707,"100 Church St., N.Y.",Appeals,06/26/2014,Claim Associate,Clerical & Administrative Support,-74.01011419999999,40.71330040000001,Manhattan
160910,DEPT OF INFO TECH & TELECOMM,1,F,Experienced (non-manager),49492,60000,75 Park Place New York Ny,Financial Services,08/21/2014,Manager,Finance,-74.0109797,40.7144626,Manhattan
167179,NYC EMPLOYEES RETIREMENT SYS,1,F,Experienced (non-manager),87203,131623,"335 Adams Street, Brooklyn Ny",Executive Management,11/19/2014,Computer Specialist,	Technology & Data,-73.9882453,40.6934634,Brooklyn
167179,NYC EMPLOYEES RETIREMENT SYS,1,F,Experienced (non-manager),87203,131623,"335 Adams Street, Brooklyn Ny",Executive Management,11/19/2014,Computer Specialist,	Technology & Data,-73.9882453,40.6934634,Brooklyn
170989,OFFICE OF COLLECTIVE BARGAININ,1,P,Student,18200,21548.8,100 Gold Street,Administration,10/09/2014,Assistant,Clerical & Administrative Support,-74.0033029,40.7103379,Manhattan
170989,OFFICE OF COLLECTIVE BARGAININ,1,P,Student,18200,21548.8,100 Gold Street,Administration,10/09/2014,Assistant,Clerical & Administrative Support,-74.0033029,40.7103379,Manhattan
171040,DEPT OF HEALTH/MENTAL HYGIENE,1,F,Entry-Level,32086,51981,42-09 28th Street,Communicable Diseases,10/08/2014,Claim Associate,Clerical & Administrative Support,-73.9390619,40.7493572,Queens
172053,DEPT OF INFO TECH & TELECOMM,1,F,Experienced (non-manager),49492,69000,59 Maiden Lane,311 Operations,10/21/2014,Manager,Community,-74.0081164,40.7087357,Manhattan
175362,DEPT OF HEALTH/MENTAL HYGIENE,1,F,Entry-Level,32086,51981,"125 Worth Street, Nyc",Vital Statistics/Vital Recor,11/18/2014,Claim Associate,Clerical & Administrative Support,-74.002517,40.7157524,Manhattan
183112,DEPT OF INFO TECH & TELECOMM,1,F,Experienced (non-manager),45174,62370,2 Metro Tech,Develop & Integration Services,02/12/2015,Analyst,	Technology & Data,-73.9857147,40.693364,Brooklyn
183500,LAW DEPARTMENT,1,F,Experienced (non-manager),32086,51981,"100 Church St., N.Y.",Admin Services,02/20/2015,Claim Associate,Clerical & Administrative Support,-74.01011419999999,40.71330040000001,Manhattan
185056,LAW DEPARTMENT,3,F,Experienced (non-manager),38089,53300,"100 Church St., N.Y.",Family Court: New York,03/16/2015,Legal/Attorney,Clerical & Administrative Support,-74.01011419999999,40.71330040000001,Manhattan
187714,ADMIN FOR CHILDREN'S SVCS,1,F,Experienced (non-manager),72260,98163,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",03/30/2015,Computer Specialist,	Technology & Data,-74.0057361,40.7096402,Manhattan
187714,ADMIN FOR CHILDREN'S SVCS,1,F,Experienced (non-manager),72260,98163,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",03/30/2015,Computer Specialist,	Technology & Data,-74.0057361,40.7096402,Manhattan
192723,DEPT OF INFO TECH & TELECOMM,1,F,Experienced (non-manager),40055,60611,75 Park Place New York Ny,General Counsel,05/18/2015,Researcher,Clerical & Administrative Support,-74.0109797,40.7144626,Manhattan
192756,DEPARTMENT OF TRANSPORTATION,1,F,Experienced (non-manager),81290,114954,55 Water St Ny Ny,IT & Telecom,05/11/2015,Computer Specialist,	Technology & Data,-74.0091879,40.7034619,Manhattan
192756,DEPARTMENT OF TRANSPORTATION,1,F,Experienced (non-manager),81290,114954,55 Water St Ny Ny,IT & Telecom,05/11/2015,Computer Specialist,	Technology & Data,-74.0091879,40.7034619,Manhattan
193109,DEPT OF INFO TECH & TELECOMM,1,F,Experienced (non-manager),53373,72000,59 Maiden Lane,311 Operations,05/11/2015,Manager,Community,-74.0081164,40.7087357,Manhattan
195805,ADMIN FOR CHILDREN'S SVCS,2,F,Experienced (non-manager),59536,88649,"66 John Street, New York, Ny",Headstart (ECE),05/29/2015,Analyst,Social Service,-74.0078458,40.7088657,Manhattan
195805,ADMIN FOR CHILDREN'S SVCS,2,F,Experienced (non-manager),59536,88649,"66 John Street, New York, Ny",Headstart (ECE),05/29/2015,Analyst,Social Service,-74.0078458,40.7088657,Manhattan
197316,DEPT OF INFO TECH & TELECOMM,4,F,Experienced (non-manager),43118,49586,59 Maiden Lane,311 Operations,07/22/2015,Telecommunication,Community,-74.0081164,40.7087357,Manhattan
197355,DEPT OF ENVIRONMENT PROTECTION,1,F,Executive,198518,198518,96-05 Horace Harding Expway,Administration,06/23/2015,Engineer,Operation & Maintenance,-73.86348939999999,40.7348796,Queens
